"Abrev";"all_species";"Planted";"LMA";"Height";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Woody";"Undesired";"X1";"X3";"X4";"X6";"X7";"X8";"X9";"X10";"X11";"X13";"X14";"X16";"X17";"X19";"X20";"X21";"X22";"X27";"X28";"X29";"X30";"X36";"X37";"X38";"X39";"X43";"X44";"X45";"X46";"X47";"X48";"X51";"X52";"X53";"X55";"X56";"X57";"X58";"X60";"X61";"X62";"X63";"X65";"X69";"X71";"X74";"X75";"X76";"X79";"X80";"X1VN";"X3.1VN";"X3.2VN";"X4VN";"X5.1VN";"X5.2VN";"X6VN";"CTM1";"CTM2";"CTM3";"CTM4";"CTM5";"CTM6";"PE10";"PE11";"PE13.1";"PE13.2";"PE14";"PE20";"UECN1";"UECN2";"UECN3";"UECR1";"UECR2";"UECR3";"UEMA1";"UEMA2";"UEMA3"
"Cflac";"Carex flacca";0;0,0672947510094213;60;3;1;0;0;0;0;0;0;0;0,066160615;0,038338779;0;0;0,027330398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,028939062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chall";"Carex hallerana";0;0,0524658971668416;14,167;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013912997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007795245;0,010968921;0,220155039;0;0,098289758;0,027876723;0;0;0;0;0,024130304;0,104127784;0,267638442;0;0,153749782;0;0;0,140329738;0;0;0;0;0;0,207437225;0,033885082;0,4154066;0,092862054;0,439566273
"Crigi";"Catapodium rigidum";0;0,0505816894284269;12,5;4;0;0;0;0;0;0;0;0;0;0,001916939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,014582494;0;0;0;0;0;0;0;0,017307027;0;0,022361562;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03417816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015619168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ceryt";"Centaurium erythraea";0;0,0469924812030075;14,1;6;1;0;0;0;0;0,108601076;0,005758649;0,00198191;0;0,118850216;0,005961519;0;0;0;0;0,081462888;0;0;0;0;0,025941449;0,00336599;0,040983607;0;0;0;0;0,086466986;0;0;0,001264818;0;0;0;0;0;0;0;0;0;0,005763689;0;0;0,088746456;0,016214185;0;0;0;0;0;0;0;0;0;0;0,002598415;0;0;0,021984611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,047742828;0;0;0,014954638;0;0
"Ccalc";"Centranthus calcitrapae";0;0,0367647058823529;30;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,027464982;0,019448947;0;0,010412778;0;0;0,012299983;0,014196549;0;0;0;0,001748252;0;0;0;0;0;0;0;0
"Cglom";"Cerastium glomeratum";0;0,0459770114942529;5,9;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,054929964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Csili";"Ceratonia siliqua";1;0,137324910738808;400;5;0;1;0;1;0;0;0,036711389;0;0,074299239;0,024440972;0,031896023;0,009774872;0,07325735;0;0;0,007332393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,074202653;0;0;0;0;0,062208301;0,015555084;0,054908486;0;0;0;0;0;0;0,006141737;0;0,013652913;0;0,004660658;0;0;0;0;0;0,011472275;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005612722;0,012299983;0,042589648;0;0,023626946;0;0;0;0;0,024713934;0,023810186;0,226432078;0;0;0
"Coffic";"Ceterach officinarum";0;0,0529100529100529;12,5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,018281536;0;0;0;0;0;0;0;0,009724473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Csemp";"Cheirolophus sempervirens";0;0,0379247572815534;150;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003721966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Calbi";"Cistus albidus";1;0,122622006750832;160;5;1;0;0;1;0;0,007518536;0;0;0;0,024440972;0;0,002606632;0,006416702;0;0;0;0;0;0;0;0,016135829;0;0,007684426;0;0;0;0;0;0;0;0,014936898;0;0;0;0,011610811;0;0,033702681;0;0;0;0;0;0;0,003753445;0;0;0;0;0,041945923;0;0,004684204;0,005582949;0,037888689;0;0;0;0;0,002325581;0;0;0;0,033891922;0,093345975;0,010985993;0;0,028353107;0,06544344;0,003453399;0;0;0;0;0;0,036568725;0;0,031019601;0,008067145;0,002246721;0;0;0;0;0
